地址,经度,纬度,业务分类,客户名称,所在城市,所属团队,汇总时间,项目名称,项目周期,商务负责人,合同额（万元）,款项名称,开票额（万元）,到帐额（万元）,地产品牌,已开票未到账额,未执行完合同额,类型
上海市江浦路549号,,,城市,杨浦区发展和改革委员会,上海,城市事业部,2017-11-12 00:00:00,数据咨询服务合同,一期,刘谷一,,一期款,10.8,,,,,脉策经营收入
上海市江浦路549号,,,城市,杨浦区发展和改革委员会,上海,城市事业部,2017-11-28 00:00:00,数据咨询服务合同,一期,刘谷一,,一期款,,10.8,,,,脉策经营收入
武汉市京汉大道1250号,,,城市,武汉市规划研究院,武汉,城市事业部,2017-11-03 00:00:00,武汉市个人移动设备数据采购与基础处理,零期,高怡俊,25,,,,,12.5,12.5,脉策经营收入
武汉市京汉大道1250号,,,城市,武汉市规划研究院,武汉,城市事业部,2017-11-09 00:00:00,武汉市个人移动设备数据采购与基础处理,一期,高怡俊,,一期款,12.5,,,,,脉策经营收入
武汉市京汉大道1250号,,,城市,武汉市规划研究院,武汉,城市事业部,2017-12-04 00:00:00,武汉市个人移动设备数据采购与基础处理,一期,高怡俊,,一期款,,12.5,,,,脉策经营收入
武汉市京汉大道1250号,,,城市,武汉市规划研究院,武汉,城市事业部,2018-04-02 00:00:00,武汉市个人移动设备数据采购与基础处理,二期,高怡俊,,二期款,12.5,,,,,脉策经营收入
武汉市京汉大道1250号,,,城市,武汉市规划研究院,武汉,城市事业部,2017-11-03 00:00:00,武汉市长江两岸城市设计数据平台开发,零期,高怡俊,29,,,,,,14.5,脉策经营收入
武汉市京汉大道1250号,,,城市,武汉市规划研究院,武汉,城市事业部,2017-11-09 00:00:00,武汉市长江两岸城市设计数据平台开发,一期,高怡俊,,一期款,14.5,,,,,脉策经营收入
武汉市京汉大道1250号,,,城市,武汉市规划研究院,武汉,城市事业部,2017-12-04 00:00:00,武汉市长江两岸城市设计数据平台开发,一期,高怡俊,,一期款,,14.5,,,,脉策经营收入
武汉市京汉大道1250号,,,城市,武汉市规划研究院,武汉,城市事业部,2017-11-03 00:00:00,武汉市长江两岸城市设计前期研究,零期,高怡俊,26,,,,,,26,脉策经营收入
上海市世博村路300号,,,城市,上海市经济和信息化委员会,上海,城市事业部,2017-11-06 00:00:00,制造业“十三五”规划主要目标和指标实施情况分解的专项服务,零期,刘培锐,19,,,,,,,脉策经营收入
上海市世博村路300号,,,城市,上海市经济和信息化委员会,上海,城市事业部,2017-11-06 00:00:00,制造业“十三五”规划主要目标和指标实施情况分解的专项服务,一期,刘培锐,,一期款,19,,,,,脉策经营收入
上海市世博村路300号,,,城市,上海市经济和信息化委员会,上海,城市事业部,2017-11-06 00:00:00,制造业“十三五”规划主要目标和指标实施情况分解的专项服务,一期,刘培锐,,一期款,,19,,,,脉策经营收入
上海市浦东新区秀沿西路189号B4楼,,,零售和其他,上海理想信息产业（集团）有限公司,上海,旅游事业部,2017-11-08 00:00:00,移动互联网爬虫关键技术研究项目,零期,李庆华,30,,,,,,,脉策经营收入
上海市浦东新区秀沿西路189号B4楼,,,零售和其他,上海理想信息产业（集团）有限公司,上海,旅游事业部,2017-12-06 00:00:00,移动互联网爬虫关键技术研究项目,一期,李庆华,,一期款,30,,,,,脉策经营收入
上海市浦东新区秀沿西路189号B4楼,,,零售和其他,上海理想信息产业（集团）有限公司,上海,旅游事业部,2017-12-22 00:00:00,移动互联网爬虫关键技术研究项目,一期,李庆华,,一期款,,30,,,,脉策经营收入
上海市世博村路300号,,,城市,上海市经济和信息化委员会,上海,旅游事业部,2017-11-08 00:00:00,产业园区经济运行监测及展示平构架服务,零期,李庆华,13,,,,,,,脉策经营收入
上海市世博村路300号,,,城市,上海市经济和信息化委员会,上海,旅游事业部,2017-11-13 00:00:00,产业园区经济运行监测及展示平构架服务,一期,李庆华,,一期款,13,,,,,脉策经营收入
上海市世博村路300号,,,城市,上海市经济和信息化委员会,上海,旅游事业部,2017-11-13 00:00:00,产业园区经济运行监测及展示平构架服务,一期,李庆华,,一期款,,13,,,,脉策经营收入
上海市浦东大道900号华辰金融大厦7层,,,地产,上海万科地产有限公司,上海,地产事业部,2017-11-15 00:00:00,DataMap,零期,郭斌亮,30,,,,,9,12,脉策经营收入
上海市浦东大道900号华辰金融大厦7层,,,地产,上海万科地产有限公司,上海,地产事业部,2017-12-06 00:00:00,DataMap,一期,郭斌亮,,一期款,18,,,,,脉策经营收入
上海市浦东大道900号华辰金融大厦7层,,,地产,上海万科地产有限公司,上海,地产事业部,2017-12-22 00:00:00,DataMap,一期,郭斌亮,,一期款,,18,,,,脉策经营收入
上海市浦东大道900号华辰金融大厦7层,,,地产,上海万科地产有限公司,上海,地产事业部,2018-05-15 00:00:00,DataMap,二期,郭斌亮,,二期款,9,,,,,脉策经营收入
北京市东直门外大街39号京投快轨大厦608,,,零售和其他,北京腾云天下科技有限公司,北京,后台,2017-11-16 00:00:00,服务费用,零期,汤舸,18,,,,,,,脉策经营收入
北京市东直门外大街39号京投快轨大厦608,,,零售和其他,北京腾云天下科技有限公司,北京,后台,2017-11-17 00:00:00,服务费用,一期,汤舸,,一期款,18,,,,,脉策经营收入
北京市东直门外大街39号京投快轨大厦608,,,零售和其他,北京腾云天下科技有限公司,北京,后台,2017-11-24 00:00:00,服务费用,一期,汤舸,,一期款,,18,,,,脉策经营收入
杭州市滨江区长河街道网商路599号4幢7层,,,培训,网易（杭州）网络有限公司,杭州,培训事业部,2017-11-17 00:00:00,数据培训服务合同,零期,黄积小,4.49665,,,,,,,脉策经营收入
杭州市滨江区长河街道网商路599号4幢7层,,,培训,网易（杭州）网络有限公司,杭州,培训事业部,2017-11-17 00:00:00,数据培训服务合同,一期,黄积小,,一期款,4.49665,,,,,脉策经营收入
杭州市滨江区长河街道网商路599号4幢7层,,,培训,网易（杭州）网络有限公司,杭州,培训事业部,2017-12-26 00:00:00,数据培训服务合同,一期,黄积小,,一期款,,3.82521,,,,脉策经营收入
杭州市滨江区长河街道网商路599号4幢7层,,,培训,网易（杭州）网络有限公司,杭州,培训事业部,2018-01-26 00:00:00,数据培训服务合同,一期,黄积小,,二期款,,0.67144,,,,脉策经营收入
上海市杨浦区国泰路127弄复旦科技园2号楼339,,,培训,上海复旦规划建筑设计研究院有限公司,上海,培训事业部,2017-11-17 00:00:00,数据培训服务合同,零期,黄积小,0.69,,,,,,,脉策经营收入
